 Blood Bank Name, Address, Contact No, Latitude, Longitude
G.B. Pant Hospital Blood bank,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",03192 230628,11.675442,92.747338
I.N.H.S. Dhanvantri,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",03192 248759,11.649693,92.717418
Pillar Health Centre Blood Bank,"Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport","03192 233193, 03192 233993",11.653229,92.730714
"Indian Red Cross Society Blood Bank, District Branch","Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",08554 246344,14.654936,77.609915
Government General Hospital Blood Bank,"Government General Hospital, Ananthapur",08554 275024,14.671459,77.596684
Indian Red Cross Society,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",8554246344,14.681888,77.600591
Rural Development Trust Hospital Blood Bank,"Kadiri Road, Bathalapalli, Ananthapur",08559 244259,14.652907,77.618826
South Central Railway Hospital Blood Bank,"S.C. Railway Hospital, Guntakal, Ananthapuramu",08552 227166,15.172889,77.366103
Indian Red Cross Society Blood Bank,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",08556 225900,13.832533,77.492214
Indian Red Cross Society Blood bank RCH -II KADIRI,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
",08494 221544,14.113089,78.157366
S.S.S.I.H.M.S. Blood Bank,"Prasanthigram, Puttaparthy, Ananthapuramu",08555 287900,14.151889,77.77685
Indian Red Cross Society,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",8572220287,13.217176,79.100329
M/s IRCS Blood Bank.,"D.No. 20 - 119, Prakasam High Road, Chittor",08572 220287 ,13.21698,79.100764
M/s PESIMSR Blood Bank.,"PES Institute of medical sciences premises, Kuppam
",08570 256737,12.791223,78.363897
Blood Bank AH Madanapalli," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",8571222087,13.217176,79.100329
"Indian Red Cross Society, Madanapalli RCH 2","Area Hospital, Patel Road, Madanapalli.
",08571 222087,13.556927,78.50085
"Aswini Hospital Blood Bank, TTD","Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",9490651605,13.677292,79.3487
SVRRGGH - Model Blood Bank,"S.V.R.R. Government General Hospital, Tirupati
",0877 2286290,13.644382,79.407003
Sri Venkateswara Institute of Medical sciences Blood Bank,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",0877 2287777,13.637934,79.403917
 TTD Central Hospital Blood Bank,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",0877 2264622,13.642148,79.421067
"M/S. Kims & Research Foundation, Hospital Blood Bank","Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.","08856 237996, 08856 237997, 08856 237998",16.592169,82.024025
"M/s. Government General Hospital, Blood Bank.","Government General Premises, Ground Floor, Kakinada",0884 2302008,16.955537,82.22748
M/s. Indian Red Cross Society Blood Bank,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",0884 2385800,16.989065,82.247465
M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
","0884 2367366, ",16.955721,82.2384023
M/s. G. S. L. Medical College General Hospital Blood Bank,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",0883 2484999,17.0665153,81.8828986
M/S. Dhanwantari Voluntary Blood Bank.,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",0833-2473050,17.00787,81.785213
M/s. Government Area General Hospital Blood Bank.,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
",08854 252333,17.354937,82.541241
Government General Hospital Blood Bank,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
",0863 2220035 (Ext No: 280),16.299747,80.443689
Indian Red Cross Society Blood Bank ,"Zilla Parishad Compound, Nagarampalem, GUNTUR
",0863 2215656,16.306653,80.43654
Lions Club of Guntur Vision Blood Bank,"1st Floor, Somuvari Street, Kothapeta, Guntur","0863 2336198, 0863 2336199 ",16.2992824,80.4503521
M/s. Needs Blood Bank ,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
","0863 6638222, 0863 6639222",16.29882,80.448888
Saint Joseph General Hospital Blood Bank,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
","0863 2322700, 0863 2320386 ",16.297514,80.440648
NTR Memorial Trust Blood Bank,"Door No. 13-2-87, 1st Line G. V. Thota",0863 2339444 ,16.2968931,80.4499274
Katuri Medical College and Hospital Blood Bank ,"Katuri Nagar, Chinakondrupadu, Guntur
","0863 2288555, 0863 2288556 (Ext No. 234) ",16.227872,80.30947
NRI Medical College and General Hospital Blood Bank,"Mangalagiri Mandalam, Chinakakani, Guntur
","08645 236777, 08645 237401, 08645 230101",16.413675,80.555675
Manipal Hospital Bloodbank,"Soumyanagar, Tadepalli, Guntur",0866 2489700 (Ext No.102),16.484433,80.617219
Indian Red Cross Society Blood Bank. Narassraopet,"Area Hospital, Narasaraopeta ",8647224455,16.235919,80.048412
NRT Blood Bank,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
",9542628888,16.193331,80.019956
Anjireddy Multi Specality Blood Bank ,"Gaganamma Temple, Piduguralla
",08649 254567,16.478789,79.893642
Red Cross Blood Bank," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
",08648 223939,16.017425,80.829475
Rudhira Voluntary Blood Bank,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali","08644 231222, 08644 654123",16.243428,80.646397
Area Hospital Blood Bank,Gudivada,08674 245040,16.349045,81.049715
Dr. Pattabhi Red Cross Blood Bank ,"DM & HO Campus, Machilipatnam",08672 230605,16.190546,81.136154
Government General Hospital (Repeated),"Government General Hospital, Ramavarapadu, Vijayawada - 520007",9866686760,16.513339,80.618989
Government District Headquarters Hospital machilipatnam blood bank,Machilipatnam, 08672 245040,16.176867,81.138647
Rotary Red Cross Blood Bank,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

","0866 2570082, 0866 6464002",16.506174,80.648015
Vijaya Sri Blood Bank,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",0866 2433199,16.51304,80.635644
Lions Blood Bank,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",0866 2434417,16.506174,80.648015
University General Hospital Blood Bank,"Ring Road, Gunadala, Vijayawada","0866 2452244, 0866 2453488",16.516111,80.670085
M/s. Chaitanya Blood Bank,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
","0866 2497977, 0866 645977",16.498839,80.655488
Nagarjuna Hospital Blood Bank,"Kanuru, Vijayawada",0866 2554701,16.4948205,80.6891524
Rotary Red Cross Blood Bank (Repeated),"26-5-5, G.S. Raju Road, Vijayawada ",2570082,16.525942,80.634075
Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Chinnaoutapalli. ,08676 257311,16.551655,80.832047
Bethesda Blood Bank,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",0866 2435888,16.512971,80.632664
"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ","H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",0866 2573636,16.510309,80.63251
Suraksha Voluntary Blood Bank,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",0866 2434499,16.51343,80.632861
M/s. Indian Red Cross Society Blood Bank,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",08518 255347,15.816357,78.040317
M/s. Viswa Bharathi General Hospital Blood Bank,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",08518 283964,15.8132734,78.0380988
M/s. Viswa Bharathi Blood Bank,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",08518 22294,15.8137967,78.037619
M/s. R.R. Hospital Blood Bank,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",08518 223131,15.82872,78.035743
District Hospital Blood Bank ,"District Hospital, Noonepalli, Nandyal, Kurnool
",8514221033,15.469336,78.482935
M/s. Area Hospital Blood Bank,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",8520026320,15.825971,80.36127
Indian Red Cross Society Blood bank,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",08596 223485,15.736154,79.269125
M/s. RIMS General Hospital Blood Bank,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",8592233310,15.487882,80.047144
Indian Red Cross Society Blood Bank,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",08592 236093,15.505723,80.049922
M/s. Life Line Volunytary Blood Bank,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",9247023117,15.481367,80.05908
M/s. Belief Blood Bank,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",08592 222345,15.481367,80.05908
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,"Survey No.1083/3, R.D. Office Compound, Kavali
",08626 244766,14.913181,79.99298
Indian Red Cross Society Blood Bank,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",0861 2320470,14.426777,79.959008
D.S.R. Headquarters Hospital Blood Bank,"Government Hospital Compound, Nellore",0861 2349277,14.4365036,79.999432
Narayana Medical College & Hospital Blood Bank,"Narayana Hospital compound, Nellore",0861 2317963,14.442599,79.986456
GMR Varalakshmi Care Hospital Blood Bank,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam
","08941 253183, 08941 253184",18.461272,83.658352
Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,"RIMS Government Hospital Premises, Balaga, Srikakulam
",08942 279679,18.312884,83.887717
Indian Red Cross Society (IRCS) Blood Bank,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam


","08942 226555, 08942 226111",18.296359,83.894549
M/s. NTR Area Hospital Blood Bank,"APVVP Hospital Premises, Anakapalli, Visakhapatnam 
",08924 223340,17.686427,83.218576
M/s. Visakha Steel General Hospital Blood Bank,"Ukkunagaram, Steel Plant, Visakhapatnam",0891 2887722,17.662908,83.144127
M/s. INHS Kalyani Blood Bank,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",0891 2814028,17.6871271,83.2505089
M/s. Anil Neerukonda Hospital  Blood Bank,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District
",8912821111 (Exte. No. 126),17.97256,83.432338
M/s. King George Hospital (KGH) Blood Bank ,"King George Hospital, Maharanipeta, Visakhapatnam",0891 2564891,17.70667,83.303737
M/s. Government Victoria Hospital Blood Bank,"Women & Children Hospital Blood Bank, Visakhapatnam",0891 2562637 ,17.686816,83.218482
M/s. Indian Red Cross Society Blood Bank ,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam
",0891 2703953,17.686816,83.218482
M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam
","0891 6534635, 0891 2506678",17.686816,83.218482
M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam. 
",0891 2727272 ,17.717084,83.309208
M/s. Seven Hills Hospital Blood Bank,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam
",0891 6677777,17.71737,83.309268
 A. S. Raja Voluntary Blood Bank,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam
","0891 2543436,0891 6663436,0891 6644936.",17.720274,83.313048
M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam
","0891 6692587, 0891 6692580, 0891 6692590",17.719063,83.311286
M/s. N.T.R. Memorial Trust Blood Bank ,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam
","0891 2565858, 0891 2555858",17.691575,83.238891
M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam
",0891 2524777,17.784938,83.374975
M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam
","0891 2793741, 0891 2590131",17.689433,83.211615
"Indian Red Cross Society Blood Bank, RCH-II","Area Hospital Premises, First Floor, Belagam, Parvathipuram
",08963 222088,18.781716,83.426752
Indian Red Cross Society Blood Bank,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",08922 272700,18.106658,83.395551
Maharaja Institute of Medical Sciences Blood Bank,"D.No. 31-15, Nellimarla, Vizianagaram",08922 244394,18.1460163,83.4424491
ASN Raju Charitable Trust Blood Bank,"D.No. 24-1-1, R.K. Plaza (Sarovar complex), J. P. Raod, Bhimavaram
",08816 225556,16.54391,81.516237
Uddaraju Anandaraju Foundation Blood Bank,"D.No. 27-8-21/2, Sivaraopet, Bhimavaram","08816 230888, 08816 230878",16.543064,81.515731
M/s. Government Headquarters Hospital Blood Bank,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari",08812 220333,17.006153,81.782132
M/s. Indian Red Cross Society Component Blood Bank," General Hospital Premises, Eluru, West Godavai
",08812 224722,16.711919,81.094839
M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank,"Ground Floor, Hospital Block, NH 5 Eluru, West Godavari 
","08812 288288, 08812 288299",16.737395,81.146494
M/s. Good Samaritan Blood Bank,"D.No.13-1, Good Samaritan Cancer and General Hospital, Vangayagudem, Eluru, West Godavari
","08812 246430, 08812 246947",18.179738,83.39551
M/s. Indian Red Cross Society Blood Bank jangareddi gudem,"Government Hospital Premises, Jangareddygudem",08821 225305,17.125307,81.273907
Indian Red Cross Society Blood Bank narasapuram,"C/o. Community Healthcare Center, Narsapuram",08814 276656 ,16.45196,81.680205
Palakol Voluntary Blood Bank,"D.No. 47-1-12/2C, 1st floor, Beside Chamber of Commerce Building, Srinivasa Deluxe, Palakol
",08814 222678,16.517455,81.725342
Indian Red Cross Society Blood Bank Tanuku  (Repeated),"IRCS Sub Branch Doorno 27-14-9, Dodipatlavari Street, 
Tanuku, West Godavari District ",8819221184,16.757173,81.679963
Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,"D.No.27-14-9, Doddipatla Vari Street, Tanuku.",08819 221184,16.757173,81.679963
